,PERMNO,DATE,NAICS,BIDLO,ASKHI,PRC,VOL,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,vwretd,vwretx,ewretd,ewretx,sprtrn,PRC_RET,PRC_MOV,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,PEG_1yrforward,PEG_ltgforward,NEXT_DAY_PREDICTION
1,10107.0,1.138752e+18,511210.0,26.39,28.04,26.87,11088149.0,26.87,26.88,10333369.0,1.0,1.0,26.87,-0.00999999999999801,-0.001637,-0.0035520000000000005,0.004836,0.003476,0.000453,-0.046536931958299464,0.0,31.756,0.163,14.950999999999999,21.496,21.846,22.392,22.392,6.712999999999999,17.868,0.264,0.316,0.434,0.409,0.8740000000000001,0.42,0.341,0.262,0.273,0.21824714611872148,0.263,0.273,0.0,0.273,0.505,0.34,0.524,1.0,0.31727065527065523,0.4768945868945869,0.3252102564102564,0.8831221397649969,0.8508123067408782,1.71,0.013000000000000001,0.13699999999999998,0.22388433048433046,2.9284245014245016,0.24428306957300688,0.7609999999999999,0.2605025641025641,1.074,0.9309999999999999,0.731,0.9359999999999999,9.27,0.8012663244938695,0.318,0.040999999999999995,0.467,39.76582267531665,63.539540006178555,2.248,2.8339999999999996,2.873,252.97582505105515,8.147,0.6,6.279,2.938,0.88,0.88,1.3230000000000002,0.151,0.025,0.0,0.036000000000000004,6.281000000000001,10.28,0.0134,14.555,1.838,1.0
2,10107.0,1.1411712e+18,511210.0,26.85,27.89,27.21,14514337.0,27.24,27.24,10225000.0,1.0,1.0,27.21,0.0,0.019053,0.017585,0.036978,0.035232,0.011065,0.012574130167755127,1.0,31.82,0.163,14.950999999999999,21.768,22.122,22.675,22.675,6.727,17.905,0.264,0.316,0.434,0.409,0.8740000000000001,0.42,0.341,0.262,0.273,0.21824714611872148,0.263,0.273,0.0,0.273,0.505,0.34,0.524,1.0,0.31727065527065523,0.4768945868945869,0.3252102564102564,0.8831221397649969,0.8508123067408782,1.71,0.013000000000000001,0.13699999999999998,0.22388433048433046,2.9284245014245016,0.24428306957300688,0.7609999999999999,0.2605025641025641,1.074,0.9309999999999999,0.731,0.9359999999999999,9.27,0.8012663244938695,0.318,0.040999999999999995,0.467,39.76582267531665,63.539540006178555,2.248,2.8339999999999996,2.873,252.97582505105515,8.147,0.6,6.279,2.938,0.88,0.88,1.3230000000000002,0.151,0.025,0.0,0.036000000000000004,6.292999999999999,10.41,0.0132,14.739,1.8419999999999999,0.0
3,10107.0,1.1438496e+18,511210.0,24.15,27.74,24.15,14689919.0,24.16,24.16,10201203.0,1.0,1.0,24.15,0.0,0.012965,0.011493999999999999,0.009791,0.008497,0.012187,-0.11930017269657327,0.0,28.176,0.163,14.950999999999999,19.32,19.634,20.125,20.125,5.957000000000001,15.854000000000001,0.264,0.316,0.434,0.409,0.8740000000000001,0.42,0.341,0.262,0.273,0.21824714611872148,0.263,0.273,0.0,0.273,0.505,0.34,0.524,1.0,0.31727065527065523,0.4768945868945869,0.3252102564102564,0.8831221397649969,0.8508123067408782,1.71,0.013000000000000001,0.13699999999999998,0.22388433048433046,2.9284245014245016,0.24428306957300688,0.7609999999999999,0.2605025641025641,1.074,0.9309999999999999,0.731,0.9359999999999999,9.27,0.8012663244938695,0.318,0.040999999999999995,0.467,39.76582267531665,63.539540006178555,2.248,2.8339999999999996,2.873,252.97582505105515,8.147,0.6,6.279,2.938,0.88,0.88,1.3230000000000002,0.151,0.025,0.0,0.036000000000000004,5.5729999999999995,9.238999999999999,0.0149,13.081,1.666,0.0
4,10107.0,1.1464416e+18,511210.0,22.56,24.29,22.65,23651189.0,22.7,22.7,10201203.0,1.0,1.0,22.65,0.0,-0.031045,-0.033025,-0.044331,-0.045982,-0.030917,-0.06412452816953867,0.0,25.921,0.151,15.12,17.695,17.835,17.976,17.976,5.419,15.302999999999999,0.259,0.316,0.423,0.401,0.86,0.419,0.33799999999999997,0.261,0.287,0.21824714611872148,0.263,0.287,0.0,0.287,0.508,0.34,0.53,1.0,0.31727065527065523,0.4768945868945869,0.3252102564102564,0.8831221397649969,0.8508123067408782,1.5719999999999998,0.017,0.14400000000000002,0.22388433048433046,2.9284245014245016,0.24428306957300688,0.737,0.2605025641025641,1.044,0.875,0.731,0.9279999999999999,9.668,0.8012663244938695,0.33899999999999997,0.046,0.513,39.76582267531665,63.539540006178555,2.135,2.7319999999999998,2.78,252.97582505105515,7.182,0.617,6.19,3.082,0.934,0.934,1.3880000000000001,0.15,0.025,0.0,0.024,5.496,0.7090000000000001,0.0159,-5.8420000000000005,1.48,1.0
5,10107.0,1.14912e+18,511210.0,21.51,23.4702,23.3,19980809.0,23.38,23.31,10062000.0,1.0,1.0,23.3,0.07000000000000028,-0.000386,-0.0018809999999999999,-0.008479,-0.010473999999999999,8.7e-05,0.028293508642611997,1.0,26.301,0.151,15.12,18.203,18.346,18.492,18.492,5.497999999999999,15.527000000000001,0.259,0.316,0.423,0.401,0.86,0.419,0.33799999999999997,0.261,0.287,0.21824714611872148,0.263,0.287,0.0,0.287,0.508,0.34,0.53,1.0,0.31727065527065523,0.4768945868945869,0.3252102564102564,0.8831221397649969,0.8508123067408782,1.5719999999999998,0.017,0.14400000000000002,0.22388433048433046,2.9284245014245016,0.24428306957300688,0.737,0.2605025641025641,1.044,0.875,0.731,0.9279999999999999,9.668,0.8012663244938695,0.33899999999999997,0.046,0.513,39.76582267531665,63.539540006178555,2.135,2.7319999999999998,2.78,252.97582505105515,7.182,0.617,6.19,3.082,0.934,0.934,1.3880000000000001,0.15,0.025,0.0,0.024,5.577000000000001,0.73,0.0155,-6.01,1.5219999999999998,1.0
6,10107.0,1.151712e+18,511210.0,22.26,24.37,24.06,13651770.0,24.05,24.07,10062000.0,1.0,1.0,24.06,-0.019999999999999574,-0.001884,-0.002927,-0.022698,-0.023752000000000002,0.005086,0.03209734997487784,1.0,27.159000000000002,0.151,15.12,18.797,18.945,19.095,19.095,5.678,16.034000000000002,0.259,0.316,0.423,0.401,0.86,0.419,0.33799999999999997,0.261,0.287,0.21824714611872148,0.263,0.287,0.0,0.287,0.508,0.34,0.53,1.0,0.31727065527065523,0.4768945868945869,0.3252102564102564,0.8831221397649969,0.8508123067408782,1.5719999999999998,0.017,0.14400000000000002,0.22388433048433046,2.9284245014245016,0.24428306957300688,0.737,0.2605025641025641,1.044,0.875,0.731,0.9279999999999999,9.668,0.8012663244938695,0.33899999999999997,0.046,0.513,39.76582267531665,63.539540006178555,2.135,2.7319999999999998,2.78,252.97582505105515,7.182,0.617,6.19,3.082,0.934,0.934,1.3880000000000001,0.15,0.025,0.0,0.024,5.7589999999999995,0.754,0.015,0.5715472190034762,1.8850620333141872,1.0
7,10107.0,1.1543904e+18,511210.0,23.99,26.12,25.7,11905970.0,25.68,25.68,9969992.0,1.0,1.0,25.7,0.0,0.025047999999999997,0.022975,0.025011000000000002,0.023562,0.021274,0.06594028135464133,1.0,25.198,0.171,12.624,19.922,20.078,21.416999999999998,21.416999999999998,5.7860000000000005,17.789,0.285,0.285,0.419,0.397,0.85,0.41200000000000003,0.305,0.265,0.28600000000000003,0.21824714611872148,0.31,0.28600000000000003,0.0,0.28600000000000003,0.551,0.341,0.541,1.0,0.0,0.0,0.0,0.8831221397649969,0.8508123067408782,1.158,0.03,0.19,0.0,0.0,0.24428306957300688,0.7609999999999999,0.0,0.828,0.642,0.488,0.89,9.689,0.0,0.424,0.068,0.735,39.76582267531665,63.539540006178555,1.5219999999999998,2.1180000000000003,2.184,252.97582505105515,6.765,0.631,5.369,3.062,1.104,1.104,1.6669999999999998,0.149,0.027999999999999997,0.0,0.026000000000000002,6.388999999999999,1.6909999999999998,0.013999999999999999,1.511,1.692,1.0
8,10107.0,1.1570688e+18,511210.0,25.43,27.44,27.35,11080397.0,27.32,27.33,9820000.0,1.0,1.0,27.35,-0.00999999999999801,0.019424,0.018105,0.009006,0.0074329999999999995,0.024566,0.06222553696681609,1.0,26.412,0.171,12.624,21.201999999999998,21.366999999999997,22.791999999999998,22.791999999999998,6.065,18.646,0.285,0.285,0.419,0.397,0.85,0.41200000000000003,0.305,0.265,0.28600000000000003,0.21824714611872148,0.31,0.28600000000000003,0.0,0.28600000000000003,0.551,0.341,0.541,1.0,0.0,0.0,0.0,0.8831221397649969,0.8508123067408782,1.158,0.03,0.19,0.0,0.0,0.24428306957300688,0.7609999999999999,0.0,0.828,0.642,0.488,0.89,9.689,0.0,0.424,0.068,0.735,39.76582267531665,63.539540006178555,1.5219999999999998,2.1180000000000003,2.184,252.97582505105515,6.765,0.631,5.369,3.062,1.104,1.104,1.6669999999999998,0.149,0.027999999999999997,0.0,0.026000000000000002,6.697,1.7990000000000002,0.0132,1.608,1.838,1.0
9,10107.0,1.1596608e+18,511210.0,27.36,28.71,28.71,12931312.0,28.68,28.69,9830460.0,1.0,1.0,28.71,-0.010000000000001563,0.037133,0.036087,0.046211,0.045186000000000004,0.031508,0.04852896526498233,1.0,27.755,0.171,12.624,22.256,22.43,23.925,23.925,6.374,19.594,0.285,0.285,0.419,0.397,0.85,0.41200000000000003,0.305,0.265,0.28600000000000003,0.21824714611872148,0.31,0.28600000000000003,0.0,0.28600000000000003,0.551,0.341,0.541,1.0,0.0,0.0,0.0,0.8831221397649969,0.8508123067408782,1.158,0.03,0.19,0.0,0.0,0.24428306957300688,0.7609999999999999,0.0,0.828,0.642,0.488,0.89,9.689,0.0,0.424,0.068,0.735,39.76582267531665,63.539540006178555,1.5219999999999998,2.1180000000000003,2.184,252.97582505105515,6.765,0.631,5.369,3.062,1.104,1.104,1.6669999999999998,0.149,0.027999999999999997,0.0,0.026000000000000002,7.037999999999999,1.889,0.0125,1.787,2.019,1.0
10,10107.0,1.1623392e+18,511210.0,28.73,29.92,29.36,12958870.0,29.35,29.37,9830460.0,1.0,1.0,29.36,-0.019999999999999574,0.023705,0.02134,0.031168,0.029505,0.016467,0.022387709613342157,1.0,30.435,0.134,14.175999999999998,22.075,22.241999999999997,23.302,23.302,6.364,20.418,0.27699999999999997,0.285,0.409,0.389,0.8420000000000001,0.413,0.305,0.27,0.29600000000000004,0.44,0.31,0.29600000000000004,0.08,0.29600000000000004,0.552,0.349,0.568,1.0,0.0,0.0,0.0,0.8831221397649969,0.8508123067408782,1.271,0.033,0.16399999999999998,0.0,0.0,0.24428306957300688,0.746,0.0,0.934,0.711,0.488,0.8740000000000001,9.492,0.0,0.396,0.059000000000000004,0.6559999999999999,39.76582267531665,63.539540006178555,1.704,2.283,2.36,10.647,4.6930000000000005,0.674,5.895,3.536,1.117,1.117,1.6769999999999998,0.151,0.027999999999999997,0.0,0.018000000000000002,7.995,1.077,0.013600000000000001,1.6440000000000001,1.9969999999999999,1.0
